rank,scope_item_id,equipment_id,work_type,description,cost_estimate_usd,duration_days,is_regulatory,failure_probability,consequence_usd,downtime_days,expected_loss_avoided,risk_tier,confidence,data_sources,marginal_roi_per_1k,marginal_roi_per_day,included
9,WO-0021,ISO-SEP-018,repair,Repair separator - address identified deficiencies,189347,2.9,0,0.052,1420000,1.12,73840,low,low,mtbf_1_events|historical_avg_1_events,389.9718506234585,25462.068965517243,True
23,WO-0011,ISO-SEP-048,inspection,Separator internal inspection per API standards,71463,1.9,0,0.033,740000,1.47,24420,low,medium,mtbf_1_events|historical_avg_1_events,341.7152932286638,12852.631578947368,True
6,WO-0009,VAC-FUR-000,repair,Repair furnace - address identified deficiencies,551465,5.8,0,0.053,3220000,2.56,170660,medium,medium,mtbf_1_events|historical_avg_1_events,309.4666025949063,29424.137931034482,True
25,WO-0017,TAN-STO-037,inspection,Storage Tank internal inspection per API standards,74640,1.1,1,0.04,510000,1.01,20400,low,medium,mtbf_1_events|historical_avg_1_events,273.3118971061093,18545.454545454544,True
20,WO-0006,ISO-PUM-022,repair,Repair pump - address identified deficiencies,107084,1.7,0,0.037,765000,1.52,28305,low,medium,mtbf_1_events|historical_avg_1_events,264.3252026446528,16650.0,True
29,WO-0014,LOA-PUM-026,inspection,Pump internal inspection per API standards,37633,0.6,0,0.051,179500,0.71,9154,low,medium,mtbf_1_events|historical_avg_1_events,243.24396141684159,15256.666666666668,True
19,WO-0026,FLU-REA-014,repair,Repair reactor - address identified deficiencies,132523,2.1,1,0.061,475000,0.94,28975,low,low,mtbf_1_events|historical_avg_1_events,218.64129245489463,13797.619047619048,True
21,WO-0023,CRU-FUR-024,inspection,Furnace internal inspection per API standards,136243,2.6,1,0.068,400000,0.79,27200,low,medium,mtbf_1_events|historical_avg_1_events,199.64328442562189,10461.538461538461,True
18,WO-0004,CRU-COL-044,repair,Repair column - address identified deficiencies,170386,4.5,0,0.041,775000,1.54,31775,low,low,mtbf_1_events|historical_avg_1_events,186.48832650569884,7061.111111111111,True
26,WO-0020,CRU-FUR-049,inspection,Furnace internal inspection per API standards,99729,2.2,0,0.028,650000,1.29,18200,low,low,mtbf_1_events|historical_avg_1_events,182.4945602583,8272.727272727272,True
10,WO-0002,REF-HEA-032,replacement,Replace heat exchanger due to end-of-life condition,345233,3.2,0,0.057,950000,1.89,54150,low,medium,mtbf_1_events|historical_avg_1_events,156.85059076044294,16921.875,True
27,WO-0016,HYD-REA-012,upgrade,Upgrade reactor controls and instrumentation,107288,2.3,0,0.035,375000,0.74,13125,low,medium,mtbf_1_events|historical_avg_1_events,122.33427783163076,5706.521739130435,True
13,WO-0027,CRU-FUR-043,upgrade,Upgrade furnace controls and instrumentation,410565,3.0,0,0.028,1720000,1.36,48160,low,medium,mtbf_1_events|historical_avg_1_events,117.30176707707672,16053.333333333334,True
22,WO-0030,TAN-PUM-004,upgrade,Upgrade pump controls and instrumentation,401817,2.3,0,0.069,380000,0.75,26220,low,medium,mtbf_1_events|historical_avg_1_events,65.25358558746892,11400.0,True
28,WO-0010,ALK-HEA-040,repair,Repair heat exchanger - address identified deficiencies,206604,2.8,0,0.047,260000,0.51,12220,low,medium,mtbf_1_events|historical_avg_1_events,59.146967144876186,4364.285714285715,True
24,WO-0005,VAC-COL-036,repair,Repair column - address identified deficiencies,431636,5.0,0,0.05,450000,0.89,22500,low,medium,mtbf_1_events|historical_avg_1_events,52.127255372582454,4500.0,True
30,WO-0029,REF-HEA-030,repair,Repair heat exchanger - address identified deficiencies,174378,3.5,0,0.038,92000,0.36,3496,low,low,mtbf_1_events|historical_avg_1_events,20.048400600993247,998.8571428571429,True
